coords,res
1696,32
1703,32
1704,32
1702,32
1701,32
1700,32
1707,32
1708,32
1715,32
1714,32
1716,32
1718,32
1719,32
1721,32
1722,32
1723,32
1725,32
1729,32
1728,32
1730,32
1732,32
1731,32
1735,32
1738,32
1736,32
1739,32
1740,32
1741,32
1745,32
1747,32
1751,32
1750,32
1752,32
1756,32
1754,32
1758,33
1757,33
1759,33
1761,33
1763,33
1767,33
1765,33
1766,33
1768,33
1770,33
1769,33
1772,33
1771,33
1773,33
1774,33
1776,33
1775,33
1778,33
1779,33
1781,33
1784,33
1783,33
1786,33
1787,33
1794,33
1792,33
1793,33
1798,33
1797,33
1799,33
1796,33
1800,33
1804,33
1805,33
1806,33
1811,33
1814,33
1816,33
1819,33
1821,33
1823,33
1826,33
1830,33
1831,33
1832,33
1833,33
1834,33
1835,33
1836,33
1837,33
1839,33
1838,33
1840,33
1843,33
1841,33
1844,33
1845,33
1846,34
1847,34
1848,34
1849,34
1852,34
1853,34
1855,34
1858,34
1860,34
1863,34
1866,34
1867,34
1870,34
1868,34
1869,34
1871,34
1873,34
1872,34
1875,34
1874,34
1876,34
1877,34
1878,34
1879,34
1881,34
1880,34
1883,34
1882,34
1888,34
1886,34
1889,34
1890,34
1892,34
1893,34
1895,34
1896,34
1899,34
1897,34
1901,34
1903,34
1904,34
1905,34
1908,34
1907,34
1906,34
1909,34
1910,34
1911,34
1914,34
1915,34
1917,34
1919,34
1923,34
1921,34
1922,34
1926,34
1925,34
1928,34
1933,34
1931,34
1937,34
1938,35
1934,34
1939,34
1936,34
1940,35
1943,35
1947,35
1945,35
1951,35
1948,35
1953,35
1957,35
1958,35
1964,35
1967,35
1966,35
1965,35
1972,35
1974,35
1980,35
1977,35
1978,35
1982,35
1984,35
1986,35
1990,35
1991,35
1993,35
1995,35
1997,35
1996,35
1998,35
2002,35
2001,35
2006,35
2004,35
2007,35
2005,35
2008,35
2011,35
2010,35
2012,35
2015,35
2016,35
2017,35
2019,35
2022,35
2024,35
2027,35
2026,35
2029,35
2028,35
2035,35
2039,35
2038,35
2041,35
2043,35
2044,35
2045,35
2048,35
2050,35
2052,35
2055,35
2054,35
2060,35
2061,35
2064,36
2066,36
2067,36
2068,36
2071,36
2072,36
2075,36
2079,36
2078,36
2084,36
2083,36
2076,36
2092,36
2094,36
2095,36
2089,36
2091,36
2093,36
2105,36
2101,36
2106,36
2109,36
2110,36
2116,36
2115,36
2107,36
2119,36
2117,36
2122,36
2121,36
2124,36
2123,36
2128,36
2129,36
2130,36
2131,36
2133,36
2132,36
2137,36
2142,36
2144,36
2143,36
2146,36
2147,36
2150,36
2151,36
2152,36
2153,36
2154,36
2149,36
2159,36
2158,36
2162,36
2163,37
2164,36
2156,36
2168,36
2167,36
2166,36
2157,36
2161,37
2174,37
2179,37
2182,37
2181,37
2183,37
2185,37
2190,37
2189,37
2187,37
2192,37
2195,37
2186,37
2198,37
2188,37
2200,37
2202,37
2206,37
2205,37
2207,37
2210,37
2213,37
2216,37
2217,37
2218,37
2219,37
2223,37
2224,37
2227,37
2226,37
2228,37
2231,37
2232,37
2233,37
2229,37
2238,37
2242,37
2243,37
2244,37
2239,37
2245,37
2241,37
2250,37
2256,37
2255,37
2259,37
2261,37
2262,37
2260,37
2263,37
2265,37
2266,37
2267,37
2268,37
2271,37
2270,37
2269,37
2274,37
2275,37
2277,37
2280,38
2279,38
2285,38
2286,38
2287,38
2284,38
2293,38
2292,38
2294,38
2295,38
2296,38
2302,38
2298,38
2309,38
2303,38
2304,38
2305,38
2317,38
2319,38
2312,38
2320,38
2315,38
2323,38
2316,38
2314,38
2318,38
2325,38
2322,38
2324,38
2332,38
2334,38
2329,38
2328,38
2333,38
2335,38
2338,38
2337,38
2336,38
2342,38
2346,38
2341,38
2349,38
2350,38
2353,38
2352,38
2357,38
2360,38
2359,38
2366,38
2367,38
2372,38
2381,38
2384,38
2385,38
2376,38
2374,38
2379,38
2378,38
2380,38
2377,38
2386,38
2391,38
2393,38
2399,38
2398,38
2396,38
2400,38
2401,38
2397,38
2412,39
2413,39
2407,39
2409,39
2410,39
2415,39
2417,39
2429,39
2421,39
2423,39
2433,39
2424,39
2430,39
2431,39
2435,39
2436,39
2438,39
2439,39
2441,39
2443,39
2444,39
2445,39
2447,39
2448,39
2461,39
2450,39
2451,39
2453,39
2454,39
2457,39
2458,39
2459,39
2460,39
2477,39
2472,39
2470,39
2471,39
2480,39
2476,39
2475,39
2481,39
2482,39
2483,39
2485,39
2486,39
2488,39
2489,39
2490,39
2494,39
2495,39
2498,39
2499,39
2500,39
2503,39
2504,39
2506,39
2507,39
2517,39
2510,39
2514,39
2515,39
2518,39
2520,39
2519,39
2521,40
2524,40
2529,40
2530,40
2540,40
2535,40
2542,40
2536,40
2538,40
2541,40
2544,40
2545,40
2547,40
2548,40
2550,40
2551,40
2553,40
2555,40
2556,40
2560,40
2562,40
2566,40
2572,40
2574,40
2576,40
2581,40
2582,40
2583,40
2584,40
2585,40
2588,40
2590,40
2591,40
2592,40
2594,40
2596,40
2598,40
2600,40
2603,40
2605,40
2611,40
2613,40
2614,40
2620,40
2627,40
2629,40
2632,40
2714,40
2715,40
2721,40
2723,40
2725,40
2727,40
2730,40
2731,40
2732,40
2734,40
2738,40
2739,40
2740,40
2741,40
2742,40
2745,40
2747,40
2749,40
2750,40
2752,40
2753,40
2758,41
2760,41
2761,41
2762,41
2765,41
2766,41
2768,41
2770,41
2772,41
2775,41
2776,41
2778,41
2779,41
2780,41
2781,41
2784,41
2787,41
2789,41
2790,41
2792,41
2793,41
2797,41
2798,41
2799,41
2802,41
2805,41
2806,41
2808,41
2809,41
2811,41
2813,41
2814,41
2816,41
2818,41
2819,41
2821,41
2824,41
2831,41
2833,41
2835,41
2838,41
2841,41
2844,41
2849,41
2850,41
2854,41
2857,41
2860,41
2862,41
2864,41
2872,41
2873,41
2875,41
2876,41
2880,41
2883,41
2884,41
2885,41
2886,41
2887,41
